carla.bolick,10:23:53.65,Thu 07/12/2018 
carla.bolick,10:32:12.10,Thu 07/12/2018 
Pamela.Wilder,10:32:13.22,Thu 07/12/2018 
Pamela.Wilder,10:38:28.95,Thu 07/12/2018 
carla.bolick,10:47:23.26,Thu 07/12/2018 
patrick.harrison,10:49:05.66,Thu 07/12/2018 
patrick.harrison,10:49:15.72,Thu 07/12/2018 
patrick.harrison,10:49:24.67,Thu 07/12/2018 
patrick.harrison,10:49:33.78,Thu 07/12/2018 
patrick.harrison,10:49:36.54,Thu 07/12/2018 
patrick.harrison,10:49:45.29,Thu 07/12/2018 
patrick.harrison,10:49:48.03,Thu 07/12/2018 
patrick.harrison,10:49:56.86,Thu 07/12/2018 
patrick.harrison,10:50:07.67,Thu 07/12/2018 
patrick.harrison,10:50:15.27,Thu 07/12/2018 
patrick.harrison,10:50:28.61,Thu 07/12/2018 
patrick.harrison,10:50:41.26,Thu 07/12/2018 
patrick.harrison,10:50:52.69,Thu 07/12/2018 
patrick.harrison,10:51:11.58,Thu 07/12/2018 
patrick.harrison,10:51:22.14,Thu 07/12/2018 
patrick.harrison,10:51:24.68,Thu 07/12/2018 
patrick.harrison,10:51:34.74,Thu 07/12/2018 
patrick.harrison,10:51:43.78,Thu 07/12/2018 
patrick.harrison,10:51:53.01,Thu 07/12/2018 
carla.bolick,10:54:50.26,Thu 07/12/2018 
antonio.bennett,11:16:58.39,Thu 07/12/2018 
antonio.bennett,11:17:37.84,Thu 07/12/2018 
corey.nixon,11:26:00.32,Thu 07/12/2018 
corey.nixon,11:27:19.11,Thu 07/12/2018 
corey.nixon,11:27:38.31,Thu 07/12/2018 
corey.nixon,11:28:44.13,Thu 07/12/2018 
corey.nixon,11:29:02.14,Thu 07/12/2018 
corey.nixon,11:31:46.27,Thu 07/12/2018 
corey.nixon,11:31:51.51,Thu 07/12/2018 
Pamela.Wilder,11:36:08.63,Thu 07/12/2018 
Pamela.Wilder,11:36:37.75,Thu 07/12/2018 
Pamela.Wilder,11:41:53.06,Thu 07/12/2018 
